index,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,real faker tweet,0,0,0,0,0,0
1,Lmfao,0,0,0,0,0,0
2,"bruh, the best teemo player from my country isnt streaming",0,0,0,0,0,0
3,me and nunu tiered 3 simped for adc,0,0,0,0,0,0
4,yeah but i think since seraphine was released more people have played her since shes been out more then how much trundle has been played since he came out,0,0,0,0,0,0
5,"i creasted a chracter concept for spongebob ""the fierce aqua-organism""",0,0,0,0,0,0
6,and shes just hovering in the air,0,0,0,0,0,0
7,"I wish she just walked and had floating speakers or something, that would've been way better",0,0,0,0,0,0
8,"Weâ€™re conducting a study into how people make and interpret generalizations about strategy in League of Legends when they have limited information. If you have about 20 minutes to take a survey, we would greatly appreciate your participation. It can be found here:

This is our first attempt at an esports study, so we'd also appreciate any comments or feedback you have.
Please only take the survey once, and make sure to hit â€œSubmitâ€ at the end so that your responses are recorded. Thanks!",0,0,0,0,0,0
9,No,0,0,0,0,0,0
10,"if you're looking for something to take your mind off seraphine, we made it before she was a thing",0,0,0,0,0,0
11,hey guys,0,0,0,0,0,0
12,do any of you still remember that Kalista is in this game? No? Me neither...,0,0,0,0,0,0
13, love how i cant win even with me playing well,1,0,0,0,0,0
14,i keep getting inting jgs man,0,0,0,0,0,0
15, 1st match kayle adc lmao how did u lose that game,0,0,0,0,0,0
16,barely,0,0,0,0,0,0
17,How would I ever win vs this,0,0,0,0,0,0
18,can anyone confirm if kindred gets bonuses on marks in urf?,0,0,0,0,0,0
19,bruh how do i keep getting throwing teams,1,0,0,0,0,0
20,so he decided its my fault and wanted to ruin everyons game,1,0,0,0,0,0
21,dont know why every game i get people like this on my team,1,0,0,0,0,0
22,latin america is something else huh,0,0,0,0,0,0
23,what are eternals set shard?,0,0,0,0,0,0
24,B i g hype I finally got it - PAX Tf time,0,0,0,0,0,0
25,bought from ebay?,0,0,0,0,0,0
26,I'm sorry what 1100 owned skins,0,0,0,0,0,0
27,a champ like that should be like 1350 but he's already free,0,0,0,0,0,0
28,back in no time,0,0,0,0,0,0
29,on 1 of my accs,0,0,0,0,0,0
30,p good skin imo,0,0,0,0,0,0
31,okey so i bought a hextech chest with my leftover rp and i got this skin,0,0,0,0,0,0
32,how long is Seraphine in the game,0,0,0,0,0,0
33,"well
a champ remains in the game forever so",0,0,0,0,0,0
34,laners dying even with vision ðŸ¤¡,1,0,0,0,0,0
35,no katarina in 0/5/2 we won't gank your yasuo,1,0,0,0,0,0
36, here we go bois,0,0,0,0,0,0
37,i have that skin and kinda despise it,0,0,0,0,0,0
38,whgy,0,0,0,0,0,0
39,Kekw,0,0,0,0,0,0
40,Invalid,0,0,0,0,0,0
41,That,0,0,0,0,0,0
42,Yeh,0,0,0,0,0,0
43,"Just upload it, get the link, send link here",0,0,0,0,0,0
44, like this,0,0,0,0,0,0
45,most people take a month to get to silver or even longer,0,0,0,0,0,0
46,oh boy . i have yet to face her,0,0,0,0,0,0
47,aatrox is really op in aram if u buy a lot of life steal u are inmortal unless everyone in enemy team has anti heals,0,0,0,0,0,0
48,"after a few days the seasons ends, does your mmr reset?",0,0,0,0,0,0
49,Rooting someone who flashes away is euphoric,0,0,0,0,0,0
50,It's like lol bitch you thought,0,0,0,0,0,0
51, Hmm.. Trying to think if I need to remove/add some tiers.,0,0,0,0,0,0
52,OMGOMGOMGOMGOMG i GOT SETT ARAM,0,0,0,0,0,0
53,MY HUSBAND EEEEE,0,0,0,0,0,0
54,aw cute,0,0,0,0,0,0
55,just dont care,1,0,0,0,0,0
56, This saves you and me a lot of time,0,0,0,0,0,0
57,?lfg,0,0,0,0,0,0
58,"Please use the **L**ooking **F**or **G**ame (LFG) channels to find players. You can join your regional LFG channel by visiting .

If youâ€™re lost or new to the server, please visit ",0,0,0,0,0,0
59,looking for buddhist friends eu west or ru server,0,0,0,0,0,0
60,"someone for flex ? we are 4 , silver elo, dm me pls",0,0,0,0,0,0
61,"Basically a tier list rating every character in the entire game on their support potential in a solo queue / draft scenario.  Like this is this is a draft that im restarting on. 
 ",0,0,0,0,0,0
62,Question,0,0,0,0,0,0
63,JESUS CHRIST,0,0,0,0,0,0
64,"At one point, could Nami solo lane?",0,0,0,0,0,0
65,seraphine is made to be mid?,0,0,0,0,0,0
66,play an assassin for mid,0,0,0,0,0,0
67,she can counterdive easily tho,0,0,0,0,0,0
68,doesnt matter,0,0,0,0,0,0
69,"""Nooooooo, you can't just keep coming back to life!""
""Haha passive and Guardian Angel go brrrrrr""",0,0,0,0,0,0
70,>tier lists,0,0,0,0,0,0
71,>league,0,0,0,0,0,0
72," I'm making it where SSS are like ""highly played, highly banned, solo carry worthy"" supports.",0,0,0,0,0,0
73,hecriam the legit noob stomper,0,0,0,0,0,0
74,"""SSSSSSSSS""
~Casseiopia",0,0,0,0,0,0
75,nah fam kayn isnt busted,0,0,0,0,0,0
76,hecarim is busted more,0,0,0,0,0,0
77,"fammmmmmmmm wha u meannnnn
> nah fam kayn isnt busted
",0,0,0,0,0,0
78,what the...,0,0,0,0,0,0
79,Spam shield on him,0,0,0,0,0,0
80,...,0,0,0,0,0,0
81,"kayn urf busted, nobody realized XDDDD",0,0,0,0,0,0
82,Let yorick split against diana,0,0,0,0,0,0
83,finally 6 winnnnnn,0,0,0,0,0,0
84, tell ur azir to go zhonya,0,0,0,0,0,0
85,"Well seeing as how he says top lane lost, though...",0,0,0,0,0,0
86,>ivern ,0,0,0,0,0,0
87,he is doing better then diana lmao,0,0,0,0,0,0
88,Lol,0,0,0,0,0,0
89,What do you suggest to play on JG to climb?,0,0,0,0,0,0
90,adc think otherwise,0,0,0,0,0,0
91,"I play Kayle support. I love that shit. Aery + Ardent + W max for fat heals, movement speed buffs, attack speed buffs, 15% defense shred, ""oh fuck"" saving ult that does damage and can be used to stop dives or power up your own teams dives, etc.",0,0,0,0,0,0
92,if u wanna climb just play jg its that simple,0,0,0,0,0,0
93,Not like a bard does.,0,0,0,0,0,0
94,and have better map access,0,0,0,0,0,0
95,"lets add another 
",0,0,0,0,0,0
96,bard is essentially a second jungler,0,0,0,0,0,0
